config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_A_ms_per_batch,compute_A_ms_per_record,cpu_A_ms_per_batch,compute_B_ms_per_batch,compute_B_ms_per_record,cpu_B_ms_per_batch,compute_C_ms_per_batch,compute_C_ms_per_record,cpu_C_ms_per_batch
U,1,1,0,43,4,140.928554,0.0,0.0,140.928554,35.2321385,0.0,35.2321385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,44,4,165.675683,0.0,0.0,165.675683,41.41892075,0.0,41.41892075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,45,4,135.564086,0.0,0.0,135.564086,33.8910215,0.0,33.8910215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,46,4,131.243519,0.0,0.0,131.243519,32.81087975,0.0,32.81087975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,47,4,163.223978,0.0,0.0,163.223978,40.8059945,0.0,40.8059945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,48,4,136.741778,0.0,0.0,136.741778,34.1854445,0.0,34.1854445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,49,4,148.110089,0.0,0.0,148.110089,37.02752225,0.0,37.02752225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,50,4,171.558967,0.0,0.0,171.558967,42.88974175,0.0,42.88974175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,51,4,145.176698,0.0,0.0,145.176698,36.2941745,0.0,36.2941745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,52,4,139.532734,0.0,0.0,139.532734,34.8831835,0.0,34.8831835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,53,4,161.10424,0.0,0.0,161.10424,40.27606,0.0,40.27606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,54,4,137.185046,0.0,0.0,137.185046,34.2962615,0.0,34.2962615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,55,4,150.072478,0.0,0.0,150.072478,37.5181195,0.0,37.5181195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,56,4,168.639112,0.0,0.0,168.639112,42.159778,0.0,42.159778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,57,4,152.137504,0.0,0.0,152.137504,38.034376,0.0,38.034376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,58,4,142.419294,0.0,0.0,142.419294,35.6048235,0.0,35.6048235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,59,4,147.079972,0.0,0.0,147.079972,36.769993,0.0,36.769993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,60,4,166.698197,0.0,0.0,166.698197,41.67454925,0.0,41.67454925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,61,4,149.434897,0.0,0.0,149.434897,37.35872425,0.0,37.35872425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,62,4,155.010775,0.0,0.0,155.010775,38.75269375,0.0,38.75269375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
