workload	operator_count	samples	optimizer	status	mean_execution_sec	sd_execution_sec	repeats	execution_times_sec	setup_sec
simclrv2_cache	9	9469	dj_two_stage_optimizer	success	19.97609239909798	0.07429746036329399	3	20.031306938268244,20.005350132938474,19.89162012608722	39.70255388086662
simclrv2_cache	9	9469	pecan_two_stage_optimizer	success	12.401359065746268	0.6439404623740328	3	12.843481348827481,12.698038432747126,11.662557415664196	39.209285840857774
simclrv2_cache	9	9469	simple_dp_optimizer	success	67.08965610805899	2.6149913922168833	3	64.16096530295908,67.91740304417908,69.1905999770388	2.8098471499979496
simclrv2_cache	9	9469	dp_optimizer	success	11.48818999559929	0.08036888411783477	3	11.41473535867408,11.475800415035337,11.574034213088453	3.2469941582530737
general_video_refine	10	5000	optimizer	success	1340.7812232156284	47.83837312703631	3	1287.3718079277314,1355.2758648321033,1379.6959968870506	3.9531115000136197
general_video_refine	10	5000	dj_optimizer	success	1042.6090724373546	35.94088253860487	3	1012.4376478521153,1033.0166386989877,1082.372930760961	2.9347712569870055
general_video_refine	10	5000	pecan_optimizer	success	1091.1143651443224	47.04748843355798	3	1068.4045741008595,1145.208764769137,1059.7297565629706	2.8614475377835333
general_video_refine	10	5000	dj_two_stage_optimizer	success	1762.1164546840203	27.92579600133401	3	1730.4257808821276,1783.121828192845,1772.8017549770884	317.9987058872357
general_video_refine	10	5000	pecan_two_stage_optimizer	execution_timeout		0.0	0		316.64159104181454
general_video_refine	10	5000	simple_dp_optimizer	success	2082.190335040912	46.34914331678175	3	2058.364505269099,2052.6003528838046,2135.6061469698325	2.9744135569781065
general_video_refine	10	5000	dp_optimizer	success	2195.420122910446	74.21997021461152	3	2237.8278611851856,2109.719805967994,2238.712701578159	3.286979745142162
redpajama_code	17	20000	optimizer	success	555.7127181827091	1.8785117450842808	3	555.885408454109,557.4989220928401,553.7538240011781	19.338124770205468
redpajama_code	17	20000	dj_optimizer	success	461.4871820593253	2.415710195915941	3	463.73578014364466,458.9333688542247,461.7923971801065	3.004531196318567
redpajama_code	17	20000	pecan_optimizer	success	466.1224942986543	0.6636793542427786	3	465.70866230595857,465.77081599086523,466.8880045991391	3.0457842922769487
redpajama_code	17	20000	dj_two_stage_optimizer	plan_timeout		0.0	0		3600.0
redpajama_code	17	20000	pecan_two_stage_optimizer	plan_timeout		0.0	0		3600.0
redpajama_code	17	20000	simple_dp_optimizer	success	580.4360993329125	0.5852058870730739	3	580.8441290347837,580.698560367804,579.7656085961498	4.769259937573224
redpajama_code	17	20000	dp_optimizer	success	247.3323339006553	0.13936281319650387	3	247.2764299348928,247.49096891097724,247.22960285609588	141.44923034403473
pile_hackernews	18	20000	optimizer	plan_timeout		0.0	0		3600.0
pile_hackernews	18	20000	dj_optimizer	success	1304.3302735423204	2.213837212761116	3	1306.178437385941,1304.9356663702056,1301.8767168708146	3.1310257259756327
pile_hackernews	18	20000	pecan_optimizer	success	1302.622111762641	3.8819045796452785	3	1306.0491397820879,1298.4064402077347,1303.4107552981004	3.0868436070159078
pile_hackernews	18	20000	dj_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_hackernews	18	20000	pecan_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_hackernews	18	20000	simple_dp_optimizer	success	474.65690612296265	0.6570892910829148	3	475.2840895820409,474.71310760313645,473.97352118371055	35.67945054080337
pile_hackernews	18	20000	dp_optimizer	success	457.93264555869	0.5673748924638098	3	458.07574023725465,458.4147743009962,457.30742213781923	953.9363388461061
pile_pubmed_abstracts	19	20000	optimizer	plan_timeout		0.0	0		3600.0
pile_pubmed_abstracts	19	20000	dj_optimizer	success	304.9985183691606	1.339308602221923	3	306.5180420349352,303.9896914768033,304.4878215957433	3.0799869522452354
pile_pubmed_abstracts	19	20000	pecan_optimizer	success	305.81707681591314	0.5652009708769778	3	306.05331488279626,305.1720841550268,306.2258314099163	3.1495044552721083
pile_pubmed_abstracts	19	20000	dj_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_pubmed_abstracts	19	20000	pecan_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_pubmed_abstracts	19	20000	simple_dp_optimizer	success	207.8731862452502	0.4335518599783957	3	208.3524462156929,207.50825811224058,207.75885440781713	38.26397709734738
pile_pubmed_abstracts	19	20000	dp_optimizer	success	108.35290479660034	0.2518110432342883	3	108.64075821265578,108.17342376895249,108.24453240819275	3294.813993602991
pile_uspto_backgrounds	19	20000	optimizer	plan_timeout		0.0	0		3600.0
pile_uspto_backgrounds	19	20000	dj_optimizer	success	827.052821133441	2.7167455222934356	3	825.0343332160264,825.9824049929157,830.1417251913808	3.100368927232921
pile_uspto_backgrounds	19	20000	pecan_optimizer	success	887.3491859493466	0.5911938606691494	3	887.9666611310095,887.2925465158187,886.7883502012119	3.056043456774205
pile_uspto_backgrounds	19	20000	dj_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_uspto_backgrounds	19	20000	pecan_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_uspto_backgrounds	19	20000	simple_dp_optimizer	success	798.3551222695969	1.0869686702825783	3	797.1681532319635,799.3019186449237,798.5952949319035	38.51264827186242
pile_uspto_backgrounds	19	20000	dp_optimizer	success	345.28627609973773	0.7406462740413249	3	345.06273120222613,346.1129455077462,344.6831515892409	1869.7871759128757
pile_europarl	19	2500	optimizer	plan_timeout		0.0	0		3600.0
pile_europarl	19	2500	dj_optimizer	success	1834.9073852687143	0.4959653584326842	3	1835.468511643121,1834.725991284009,1834.5276528790127	3.080059881089255
pile_europarl	19	2500	pecan_optimizer	success	2408.192787966613	4.988030410123584	3	2402.5271991579793,2411.9235105200205,2410.12765422184	3.1054994470905513
pile_europarl	19	2500	dj_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_europarl	19	2500	pecan_two_stage_optimizer	plan_timeout		0.0	0		3600.0
pile_europarl	19	2500	simple_dp_optimizer	success	1830.3547283896867	0.8813870930310264	3	1831.3050699471496,1829.5641508880071,1830.194964333903	38.255760899046436
pile_europarl	19	2500	dp_optimizer	success	1246.2934305323288	2.7765039581252173	3	1247.0389228546992,1248.6210834393278,1243.2202853029594	805.7305793762207
stackexchange	19	10000	optimizer	plan_timeout		0.0	0		3600.0
stackexchange	19	10000	dj_optimizer	success	280.7381652223412	0.949062444767904	3	280.5406561109703,279.9033984139096,281.7704411421437	2.871055976022035
stackexchange	19	10000	pecan_optimizer	success	391.91356535170536	0.6093218787865571	3	391.29586711805314,392.5141503440682,391.9306785929948	2.8522228049114347
stackexchange	19	10000	dj_two_stage_optimizer	plan_timeout		0.0	0		3600.0
stackexchange	19	10000	pecan_two_stage_optimizer	plan_timeout		0.0	0		3600.0
stackexchange	19	10000	simple_dp_optimizer	success	393.2277857856049	1.5597070968439533	3	392.9797622929327,394.896643636981,391.8069514269009	37.70592607092112
stackexchange	19	10000	dp_optimizer	unified_task_timeout		0.0	0		2797.1794355348684
