schema_version,position,pipe_id,tag,name,kind,scaling,source_record_index,input_bytes,snapshot_bytes,input_sha256,calls_per_repeat,repeats,rate_records_per_sec,rate_q1_records_per_sec,rate_q3_records_per_sec,latency_ns_per_record,throughput_mib_per_sec
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,2093,10824,10311,184e0685221dab6a9bb03755f9b6a887b03afcff88365249d8e694fd02b38094,80,7,1595.172720217532,1591.6941800053519,1596.3533062379372,626891.3625,16.466283343920296
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,1867,13232,5223,dabe1340a2be98ece1e1c07d623df722fd3a326bfd1c7c177435e716e5d4ad9f,74,7,1476.8545950833916,1476.2811610741355,1478.133281568556,677114.7297297296,18.636455537932815
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,1611,27768,11052,56edd2ba97f54e0bfaa5dd443d3499c8f12162b5aff0f7855dd84f688508fdab,27,7,534.4509772168893,534.3226312305312,535.1461368790071,1871078.9999999998,14.153132186277945
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,649,38808,6622,d38ec218c6613736193b41f92e92007e03452b370918db176e2c3c41238b0bc0,30,7,615.977545893715,615.2128894096636,616.1685044689389,1623435.8,22.797447777789397
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,4740,75360,30126,3876c4e1de731d6a8bff7ec94bc9a85508e3c1e96d5b12fe731ca68a7ff33a31,10,7,192.73408682339107,192.65586524331,192.92518752157935,5188495.800000001,13.851586134920836
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,1602,109360,43694,b072ccf7505c85919ec423940b3cabc207d952a1a2d7bcadb8bff74d3ca469c8,10,7,189.1516676329795,188.9871254160925,189.3048262735559,5286762.8,19.727350590078963
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,1624,293136,117243,fb441dff98dd4cde491b20d15649df8900d102023d46765f50a45d34c9040db8,3,7,41.42278083941222,41.39868939652867,41.47430363360967,24141305.333333332,11.579998287336293
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,26,389536,155909,4602a1e76d0b9f51455f505d882ed260d31d1821eaa1e4a8630f8107431516ac,2,7,39.44165136199121,39.43845438793995,39.52188798489672,25353908.000000004,14.652197937912568
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,3877,1128,611,b516b7067952e8b1e4d6b096d798f3e3a9fb4f2f33fd0920fa83dfeac9bea901,2048,7,67299.30643595624,67265.27904046325,67370.16363417923,14858.994140624998,72.39686742759575
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,4954,1912,1405,e8be22e32bb793b58e3c99cf8afcb17a74d687f0457d24af68b4365cbd3c63b0,835,7,19987.94260276765,19968.77785363159,20022.9519313238,50030.161676646705,36.44652009629416
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,3422,3384,2865,6f354d0d203a509cbae0e30fff57dc4cd67294e29f88dd04b0302af180c46953,382,7,8727.374282173465,8710.958629468689,8733.635900854435,114582.0,28.16527802550793
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,3087,4872,4351,079710b7f1761c2497006704abc35014bf491fcaf5f4680f42bc7e9ac39c3e83,268,7,5461.906392421629,5461.250623868211,5467.017214546449,183086.25746268657,25.377662605169466
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,350,7680,3693,2794138b8966941f5a8bd9cdf779be6f18b8fc5390cd67dbbee7b1083d548146,302,7,6833.102180648804,6831.542082049131,6841.350433718876,146346.41390728476,50.04713511217386
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,627,14472,13951,b5cb125b800ce9dd54fcd7f925b5dc468d4c09b18de94cdaa9abf73e3fcd9c80,82,7,1659.9013540867966,1658.8922415118977,1659.9991056204094,602445.4390243902,22.909252544731256
1,5,14,normalize_punct,MapperPipe_PunctuationNormalizationMapper,mapper,per_data,413,19040,7580,bae65be02ff0575c9cf07d8be7e79e1fde1f84f96d81a191a2cbcd85e9fc6362,151,7,3083.8638600319564,3083.1799183049616,3087.068659268155,324268.5298013245,55.99667348385663
