plan,operator,representation,calls,in_pipeline_p10_ms,in_pipeline_median_ms,in_pipeline_mean_ms,in_pipeline_p90_ms,M1_proportional,M2_affine_bytes,M3_affine_elements,M4_affine_representation
v1,N_normalize,"Tensor|torch.float32|[1, 244, 244]|True",964,0.15545552751026212,0.17614144623217742,0.18123852444573063,0.20672970729652035,0.24625334590219636,0.1127830402570575,0.11080148121569042,0.11080148121569042
v1,B_blur,"Tensor|torch.uint8|[1, 244, 244]|True",965,2.6715745184319624,2.807133029084749,9.00059072493812,33.27890051808691,2.6150756231925656,3.412447410086829,2.572743366794345,2.718907018666827
v1,G_grayscale,"Tensor|torch.uint8|[3, 244, 244]|False",966,0.3167360685534359,0.34501802274575516,0.36339215909209927,0.41777696113408724,0.11075285019487545,0.08991723526196585,0.18594672148468766,0.21946835226431002
v1,J_jitter,"Tensor|torch.uint8|[3, 244, 244]|True",966,9.14378260748218,9.816182771500964,10.312119306992608,11.683655250528307,3.1465377125563236,2.457072003899417,10.448192661325193,11.04392845971062
v1,H_flip,"Tensor|torch.uint8|[3, 244, 244]|True",967,0.04771328458972776,0.09006996193155262,0.08533087933692222,0.12110741019264372,0.034719358916540925,0.04090450095236845,0.049005417774120964,0.026786866608871113
v1,C_crop,"Tensor|torch.uint8|[3, 375, 500]|False",967,1.8040082661094068,1.9361677838656994,2.2653052920423593,2.3188979640379626,0.7154621381688767,1.485543032486827,1.6933655701471682,1.9411062595428745
v1,F_to_float,"Tensor|torch.uint8|[1, 244, 244]|True",965,0.020804792314459006,0.022395227316747677,0.025677864338449864,0.035632172975824286,0.06460240788844544,0.026098480835950906,0.015633522244224773,0.013864802347647177
v2,N_normalize,"Tensor|torch.float32|[1, 244, 244]|True",964,0.1640104074262979,0.2800242978252501,0.27000458323671117,0.34764847772280955,0.24625334590219636,0.1127830402570575,0.11080148121569042,0.11080148121569042
v2,B_blur,"Tensor|torch.float32|[1, 244, 244]|True",964,2.578976973253631,5.168549899065952,13.391570173130521,49.55167594873945,10.407601359127463,12.404946462183622,2.572743366794345,2.572743366794345
v2,G_grayscale,"Tensor|torch.float32|[3, 375, 500]|False",967,0.4897739650583378,1.0940252192657451,2.2508263392441337,2.32643679009737,1.392210189278322,0.5351738577725699,0.5719285060228995,0.5719285060228995
v2,J_jitter,"Tensor|torch.float32|[1, 244, 244]|True",965,0.42335818632665073,0.8017182798930709,0.7316828686068404,0.9751274679917745,4.192922981189424,3.143210615779182,3.4827308871083975,0.3808789061565233
v2,H_flip,"Tensor|torch.float32|[1, 244, 244]|True",966,0.04907735087378548,0.09416649214476039,0.11368906298964661,0.18757590387733827,0.04626532754157243,0.0452149400045872,0.049005417774120964,0.02973564535082658
v2,C_crop,"Tensor|torch.float32|[1, 375, 500]|True",967,0.6251346243828566,1.2931735866395861,1.1542900128342064,1.5213317955307655,0.9537770871317239,1.5134543028365917,1.5853740477597984,0.5313076149326059
v2,F_to_float,"Tensor|torch.uint8|[3, 375, 500]|False",967,0.09442246475689414,0.24858781068191904,0.775370067380361,0.49558416396117505,0.6066851764398222,0.24509243491529561,0.1477065349095746,0.1477065349095746
