config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_to_float_ms_per_batch,compute_to_float_ms_per_record,cpu_to_float_ms_per_batch,compute_crop_ms_per_batch,compute_crop_ms_per_record,cpu_crop_ms_per_batch,compute_flip_ms_per_batch,compute_flip_ms_per_record,cpu_flip_ms_per_batch
U,0,2,2,10,4,337.566011,24.370969000000002,24.389458000000005,313.195042,84.39150275,6.092742250000001,78.2987605,2.917264,0.729316,2.923827,19.282876,4.820719,19.291093000000004,2.170829,0.54270725,2.174538
U,0,2,2,11,4,379.075819,24.914914,24.936737,354.160905,94.76895475,6.2287285,88.54022625,2.7810420000000002,0.6952605000000001,2.788574,19.48949,4.8723725,19.497258000000002,2.6443820000000002,0.6610955000000001,2.650905
U,0,2,2,12,4,446.570174,35.2999,35.362556999999995,411.27027400000003,111.6425435,8.824975,102.81756850000001,8.288299,2.07207475,8.294311,24.892846,6.2232115,24.946813,2.118755,0.52968875,2.1214329999999997
U,0,2,2,13,4,293.294971,22.792382,22.827375,270.502589,73.32374275,5.6980955,67.62564725,2.208663,0.55216575,2.212546,18.736587999999998,4.684146999999999,18.764982,1.847131,0.46178275,1.849847
U,0,2,2,14,4,416.719922,24.938731,25.309958,391.781191,104.1799805,6.23468275,97.94529775,2.9114760000000004,0.7278690000000001,2.918813,19.207861,4.80196525,19.566629000000002,2.819394,0.7048485,2.824516
U,0,2,2,15,4,654.986287,42.741448999999996,42.787972999999994,612.244838,163.74657175,10.685362249999999,153.0612095,16.044964999999998,4.011241249999999,16.052716,24.514829,6.12870725,24.519405,2.181655,0.54541375,2.215852
U,0,2,2,16,4,302.945716,23.628234000000003,23.741748,279.317482,75.736429,5.907058500000001,69.8293705,2.397908,0.599477,2.403225,18.934319000000002,4.7335797500000005,19.036286,2.296007,0.57400175,2.302237
U,0,2,2,17,4,407.533462,26.038389,26.108936,381.495073,101.8833655,6.50959725,95.37376825,2.836398,0.7090995,2.8427819999999997,19.972118,4.9930295,20.028734,3.229873,0.80746825,3.23742
U,0,2,2,18,4,711.981623,28.276308,28.332515000000004,683.705315,177.99540575,7.069077,170.92632875,4.443727,1.11093175,4.477914,21.408895,5.35222375,21.424403,2.423686,0.6059215,2.430198
U,0,2,2,19,4,367.299542,25.296323,25.344514,342.00321899999994,91.8248855,6.32408075,85.50080474999999,2.65349,0.6633725,2.681864,20.029426,5.0073565,20.041763,2.613407,0.65335175,2.6208869999999997
U,0,2,2,20,4,1172.644777,48.235799,48.285929,1124.408978,293.16119425,12.05894975,281.1022445,30.206266,7.5515665,30.232218,15.871355000000001,3.9678387500000003,15.890749,2.158178,0.5395445,2.1629620000000003
U,0,2,2,21,4,329.99986,24.2015,24.244199,305.79836,82.499965,6.050375,76.44959,2.47404,0.61851,2.471583,19.305363,4.82634075,19.343359,2.422097,0.60552425,2.429257
U,0,2,2,22,4,417.077185,25.771832999999997,25.880914,391.30535199999997,104.26929625,6.442958249999999,97.82633799999999,2.946287,0.73657175,2.9720889999999995,20.027186,5.0067965,20.084439,2.7983599999999997,0.6995899999999999,2.824386
