config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_A_ms_per_batch,compute_A_ms_per_record,cpu_A_ms_per_batch,compute_B_ms_per_batch,compute_B_ms_per_record,cpu_B_ms_per_batch,compute_C_ms_per_batch,compute_C_ms_per_record,cpu_C_ms_per_batch
U,1,1,0,43,4,136.530272,31.719758999999996,31.749367999999997,104.810513,34.132568,7.929939749999999,26.20262825,10.898644,2.724661,10.974078,6.210827,1.55270675,6.2205449999999995,14.610287999999999,3.6525719999999997,14.554744999999999
U,1,1,0,44,4,131.362424,26.140271,26.703865,105.222153,32.840606,6.53506775,26.30553825,6.109367,1.52734175,6.1207650000000005,6.56679,1.6416975,6.578503,13.464114,3.3660285,14.004597
U,1,1,0,45,4,126.106766,21.292322,21.324619,104.814444,31.5266915,5.3230805,26.203611,6.097272,1.524318,6.108043,9.060004,2.265001,9.070667,6.135046,1.5337615,6.145909
U,1,1,0,46,4,120.682669,18.444493,18.479772,102.23817600000001,30.17066725,4.61112325,25.559544000000002,6.160761,1.54019025,6.173427,6.154723000000001,1.5386807500000002,6.165559,6.129009,1.53225225,6.140786
U,1,1,0,47,4,118.455799,18.287997,18.416935,100.167802,29.61394975,4.57199925,25.0419505,6.145188999999999,1.5362972499999998,6.156687,6.088153,1.52203825,6.194333,6.0546549999999995,1.5136637499999999,6.0659149999999995
U,1,1,0,48,4,137.147333,29.275069000000002,29.502355,107.872264,34.28683325,7.3187672500000005,26.968066,6.050476,1.512619,6.060682,6.0906329999999995,1.5226582499999999,6.127131,17.133960000000002,4.2834900000000005,17.314542
U,1,1,0,49,4,146.655014,19.652208,19.706089,127.00280599999999,36.6637535,4.913052,31.750701499999998,6.130321,1.53258025,6.140762,6.1641259999999996,1.5410314999999999,6.197311999999999,7.357761,1.83944025,7.368015
U,1,1,0,50,4,170.103177,21.146176,21.178645,148.957001,42.52579425,5.286544,37.23925025,6.093044,1.523261,6.104825,8.927997000000001,2.2319992500000003,8.939416999999999,6.125135,1.53128375,6.134403000000001
U,1,1,0,51,4,188.425302,34.975328000000005,35.764974,153.449974,47.1063255,8.743832000000001,38.3624935,12.329891,3.08247275,12.559873999999999,6.462855,1.61571375,6.487667999999999,16.182582,4.0456455,16.717432000000002
U,1,1,0,52,4,184.284481,25.782486,25.813229000000003,158.501995,46.07112025,6.4456215,39.62549875,6.274824,1.568706,6.285588000000001,10.546237000000001,2.6365592500000004,10.556674000000001,8.961425,2.24035625,8.970967000000002
U,1,1,0,53,4,176.548812,22.899697,22.955638,153.649115,44.137203,5.72492425,38.41227875,9.286341,2.32158525,9.297134999999999,7.456804,1.864201,7.469267,6.1565520000000005,1.5391380000000001,6.189236000000001
U,1,1,0,54,4,175.548772,21.355376999999997,21.388413999999997,154.193395,43.887193,5.338844249999999,38.54834875,9.132952,2.283238,9.144309999999999,6.15283,1.5382075,6.1631920000000004,6.069595,1.51739875,6.080912
U,1,1,0,55,4,176.081306,26.106496,26.172769,149.97481000000002,44.0203265,6.526624,37.493702500000005,13.902407,3.47560175,13.948029,6.13195,1.5329875,6.142309999999999,6.072139,1.51803475,6.08243
U,1,1,0,56,4,169.355159,25.541152,25.645494000000003,143.81400699999998,42.33878975,6.385288,35.953501749999994,13.303001,3.32575025,13.347978000000001,6.143841,1.53596025,6.19271,6.09431,1.5235775,6.104806
U,1,1,0,57,4,119.918794,18.66079,18.723214,101.258004,29.9796985,4.6651975,25.314501,6.201976999999999,1.5504942499999999,6.244285,6.324301,1.58107525,6.3343240000000005,6.134511999999999,1.5336279999999998,6.1446049999999985
