workload	entity	status	mean_execution_sec	sd_execution_sec	repeats	samples	measurement_kind	reasons
pile_uspto_backgrounds	system:ray	success	1053.0019008012798	2.721517806918395	3	20000	exact measured execution	
pile_uspto_backgrounds	system:plumber	unsupported			0	20000		opaque Python callbacks cannot be modeled and safely reconstructed by Plumber
pile_uspto_backgrounds	system:fastflow	unsupported			0	20000		opaque callbacks cannot be serialized by tf.data service/FastFlow
pile_europarl	optimizer:optimizer	optimizer_timeout			0	2500	exact measured execution	
pile_europarl	optimizer:dj_optimizer	success	1836.5129603586781	2.917278286194731	3	2500	exact measured execution	
pile_europarl	optimizer:dp_cedar_optimizer	success	3078.8975189783378	7.027527305481273	3	2500	exact measured execution	
pile_europarl	optimizer:pecan_optimizer	success	2404.871716980939	4.564078394577783	3	2500	exact measured execution	
pile_europarl	optimizer:dp_optimizer	success	1227.8185459069598	2.321354611157238	3	2500	exact measured execution	
pile_europarl	system:pytorch	infeasible_timeout			0	2500		execution exceeded 3600s
pile_europarl	system:tensorflow	infeasible_timeout			0	2500		execution exceeded 3600s
pile_europarl	system:ray	infeasible_timeout			0	2500		execution exceeded 3600s
pile_europarl	system:plumber	unsupported			0	2500		opaque Python callbacks cannot be modeled and safely reconstructed by Plumber
pile_europarl	system:fastflow	unsupported			0	2500		opaque callbacks cannot be serialized by tf.data service/FastFlow
